,Abstrak
66,"Pengembangan  media pembelajaran interaktif dengan pola pendidikan game dapat meningkatkan motivasi belajar siswa. Game berbasis flash ""Game Edukasi Matematika Sekolah Dasar Kelas 3 Dengan Menggunakan Metode Adaptive Learning"" menjadi salah satu media dalam pendidikan. Dengan sistem komputerisasi, membuat belajar lebih interaktif dalam memberikan dasar matematika untuk siswa muda terutama sekolah dasar. Pada game multitasking ini pengguna dapat bermain dan belajar. Pada game ini juga bersifat adaptif yaitu dapat menyesuaikan level sesuai dengan kemampuan pengguna. Dari seluruh implementasi yang dilakukan didapatkan bahwa metode adaptive learning untuk game edukasi matematika ini berjalan dengan baik. Multitasking pada game edukasi ini membuat siswa kurang konsentrasi pada soal-soal yang ditampilkan. Siswa cenderung pada permainannya. Berdasarkan hasil uji coba yang dilakukan didapat 90,4% responden menyatakan tertarik pada game ini karena skenario game yang dibuat menarik dengan animasi dan gambar latar yang disukai anak-anak."
70,"Kebutuhan pencarian data pada internet yang cepat dan tepat saat ini menjadi faktor penting para pengguna layanan internet. Sistem Informasi Tugas Akhir (SIMTAK) yang digunakan di Fakultas Teknik Universitas Trunojoyo Madura juga membutuhkan pencarian data yang tepat dan cepat berdasarkan konteks. Sistem pencarian yang dipakai saat ini adalah pencarian database dimana masih belum mampu memberikan hasil pencarian yang sesuai dengan konteks atau keywords yang diinputkan. Untuk memiliki kebenaran dalam sistem kecerdasan, pengetahuan perlu ditangkap, diproses, digunakan kembali, dan disampaikan. Ontologi mendukung semua tugas ini. Ontologi adalah spesifikasi dari konseptualisasi. Semantik web adalah sebuah abstrak representasi pada World Wide Web (WWW) yang berbasiskan pada sebuah standar yang didefinisikan menggunakan Resource Description Framework (RDF) dan Ontology Web Language (OWL) ide dasarnya adalah untuk membawa web memiliki definisi dan link data sehingga dapat digunakan lebih efektif untuk mencari, otomasi, integrasi dan reuse informasi pada berbagai aplikasi. Semantik web didefinisikan sebagai sekumpulan teknologi, dimana memungkinkan komputer memahami arti dari sebuah informasi berdasarkan metadata, yaitu informasi mengenai isi informasi seperti judul, pengarang, modifikasi tanggal pada halaman web, dan hak cipta pada halaman web. Dengan menggunakan semantik web, pencarian tugas akhir ini mampu memberikan hasil berdasarkan persamaan makna kata pada keyword yang diinputkan oleh user.
Kata Kunci : Mesin pencari, Semantic web, Tugas akhir.
ABSTRACT"
72,"Pelayanan makanan bagi pasien rawat inap di Rumah Sakit mempunyai tujuan untuk memberikan menu diet yang sesuai dengan syarat gizi minimal dan sesuai dengan penyakit yang diderita pasien. 
Sampai saat ini menu yang disediakan pihak rumah sakit kurang memperhatikan kebutuhan kalori pasiennya per individu. Sehingga mengakibatkan penyediaan makanan kepada pasien tidak sesuai dengan kebutuhan kalori perhari dari pasien. Oleh karena itu dibuatlah sistem pendukung keputusan untuk rekomendasi menu diet pasien sebagai alat bantu dalam penyediaan menu makanan bagi pasien
Metode yang digunakan yaitu metode Harris Benedict untuk perhitungan total kalori pasien dan metode Euclidean untuk perankingannya, maka diharapkan aplikasi sistem pendukung keputusan yang dibuat ini mampu untuk merekomendasikan menu diet kepada pasien beserta penjelasan mengenai kebutuhan kalori perhari untuk asupan makanan perhari dan makanan yang harus dibatasi.

Kata kunci :  Sistem Pendukung Keputusan, Harris Benedict dan Euclidean
"
80,"Produk Olahraga merupakan salah satu bagian penting dalam organ-organ seorang atlit. Peningkatan jumlah penjualan produk yang tidak terduga menyebabkan kesulitan dalam pelayanan yang terbaik kepada konsumen. Demikian juga sebaliknya, apabila terjadi penurunan jumlah penjualan produk,maka akan menyebabkan inventorydi gudang. Oleh karena itu diperlukan sistem peramalan yang mampu meramalkan penjualan produk pada periode berikutnya. Sistem peramalan ini menggunakan metode Jaringan Syaraf Tiruan dengan algoritma Backpropagation dengan momentum untuk meramalkan jumlah penjualan produk pada bulan berikutnya. Data yang telah tersimpan dihitung menggunakan epoh dan learning rate yang berbeda. Dari hasil uji coba system, maka dapat disimpulkan bahwa  dengan menggunakan semua data sebagai data training dan menggunakan learning rate 0.8 dan dengan epoh 18 akan menghasilkan tingkat kesalahan 56827.343. hasil ini menunjukkan hasil terbaik dari beberapa skenario ujicoba sistem, namum belum menunjukkan hasil terbaik dari skenario yang lain dengan meningkatkan epoch supaya mendapatkan hasil yang lebih baik.

Kata kunci : Peramalan, Jaringan Syaraf Tiruan, Backpropagation, Momentum, Penjualan Produk Olahraga.
"
82,"Internet berkembang dengan cepat beberapa tahun belakangan ini. Banyak hal yang dapat dilakukan dengan internet dari bergabung dengan situs jejaring sosial, bermain games online, belanja melalui shop online, download dan browsing info-info yang dibutuhkan. Bukan hanya itu dunia pendidikan juga ikut meramaikan dunia internet, seperti pembelajaran jarak jauh, virtual class, games pendidikan dan lain-lain. Dalam tugas akhir ini membangun aplikasi virtual class matematika untuk siswa SMP berbasis second life. Tujuan utama dari tugas akhir ini adalah untuk membuat suatu media pembelajaran dengan menerapkan teknologi yang ada yaitu, mata pelajaran yang virtual class matematika berbasis second life. Virtual Class ini dibuat secara online dengan menggunakan Second Life. Aplikasi virtual class ini terbagi dari 6 bab materi mata pelajaran matematika, khususnya untuk siswa SMP kelas VII. Didalam virtual class ini terdapat soal evaluasi untuk setiap babnya.Jika nilai evaluasi kurang dari KKM (Kriteria Kelulusan Minimal) maka siswa wajib melakukan pendalaman materi dan evaluasi ulang. Disini KKM nya menggunakan KKM mata pelajaran matematika untuk siswa VII SMP Negeri 1 Tulangan, yaitu dengan Nilai 75. Kendala dari uji coba aplikasi ini adalah kurangnya koneksi internet yang kuat, karena Aplikasi bersifat online dan memperlukan konekasi internet yang lumayan tinggi

Kata Kunci :  Internet, Virtual Class, Second Life, matematika

"
96,"Dalam pola supply chain management terdapat aktivitas penjadwalan produksi. Perubahan penjadwalan pada produksi merupakan hal yang sering terjadi untuk memenuhi permintaan konsumen, Penjadwalan produksi merupakan salah satu fungsi dari pengawasan produksi yang mempunyai peranan yang cukup penting dalam  memaksimalkan pendapatan penjualan, dan meminimalkan biaya produksi, dan proses produksi akan berjalan dengan efisien. Sedangkan proses produksi berjalan dengan efisien, maka proses supply chain management mengalir dengan lancar. Permasalahan yang ada di perusahaan rokok gudang alam, tidak adanya penjadwalan produksi pada perusahaan tersebut, dan pihak sales tidak tahu kapan barang akan dikirim. Dan pihak pemesan atau agen tidak mengetahui kapan barangnya bisa diterima, sehingga proses supply chain management tidak berjalan dengan baik. Dalam penelitian ini, diadakan   pengalokasian bahan-bahan baku dan bahan-bahan pembantu, serta kelengkapan pengolahan  di setiap instalasi atau fasilitas yang telah ditentukan untuk menunjang proses supply chain berjalan dengan baik. Hasil dari penjadwalan meliputi jumlah produk yang dihasilkan dan pengolahan pada produk tersebut, terutama pada bagian yang didahulukan dalam proses produksi untuk melakukan penjadwalan produksi rokok. Yang pada pengurutannya menggunakan metode shortest processing time, menghasilkan penjadwalan produksi rokok yang meminimalisir keterlambatan sesuai dengan permintaan konsumen.

Kata Kunci: Penjadwaln produksi, Shortest Processing Time, supply chain management
"
98,"Sidik jari adalah salah satu karakteristik fisik manusia yang saat ini banyak digunakan untuk identifikasi manusia, karena sidik jari mempunyai karakteristik yang tidak dapat berubah kecuali jika luka atau rusak akibat kecelakaan. Sidik jari sangat diperlukan untuk berbagai kasus tindak kriminal, seperti pencurian, kecurangan administrasi. Sehingga adanya proses pendeteksian sidik jari dapat memudahkan pihak-pihak yang berwajib untuk menangani beberapa kasus tersebut. Proses pendeteksian ini di lakukan dalam program komputer dengan melakukan beberapa tahap perhitungan. Penentuan titik tengah atau yang biasa di kenal dengan Corepoint adalah sebuah proses awal yang sangat berperan penting dalam proses identifikasi manusia. Terdapat dua cara untuk menentukan Corepoint atau titik tengah sidik jari yaitu secara manual dan otomatis. Secara manual dapat di lakukan dengan kasat mata. sedangkan secara otomatis dapat di tentukan dengan menggunakan suatu sistem. Pada Tugas Akhir ini untuk menentukan Corepoint sidik jari secara otomatis digunakan metode Geometry Of Region Technique (GR).Citra yang digunakan pada Tugas Akhir diperoleh dari “database FVC-2002 fingerprint-bitmaps”. Hasil uji coba sistem yang terbaik untuk deteksi Corepoint sidik jari menggunakan metode Geometry Of Region Technique (GR) dengan M0=50 dan V0=50 pada proses normalisasi dan menggunakan ukuran blok 3 x 3 pixel. Hasil akurasi sistem yang didapatkan sebesar 70%.
Kata Kunci : Sidik jari, Corepoint, Geometry Of Region Technique (GR), Normalisasi"
125,"Penjadwalan mata pelajaran di sekolah merupakan masalah yang kompleks. Dalam permasalahan tersebut terdapat beberapa variabel yang harus dipertimbangkan supaya mendapatkan jadwal yang baik. Di dalam penyusunan jadwal mata pelajaran ini terdapat sangat banyak hal yang perlu diperhatikan, serta banyak kemungkinan-kemungkinan yang selayaknya dicoba untuk menemukan penjadwalan yang terbaik. Implementasi Penjadwalan Mata Pelajaran Studi Kasus SMPN 1 Konang dibuat untuk membantu pihak sekolah dalam membuat jadwal mata pelajaran. Dalam membuat jadwal pelajaran banyak hal yang menjadi pertimbangan, misalnya mata pelajaran, hari, guru, serta waktu. Pembuatan jadwal mata pelajaran di SMPN 1 Konang masih dilakukan secara manual. Tugas Akhir ini bertujuan untuk mempermudah dan mempercepat proses membuat jadwal mata pelajaran. Untuk mencapai tujuan tersebut maka digunakan aplikasi FET time tables. Aplikasi FET time tables mempermudah dalam memasukkan data mata pelajaran, guru, ruang kelas, waktu belajar serta batasan-batasan. Dari hasil penelitian yang dilakukan menggunakan aplikasi FET Time Tables mampu membuat jadwal dengan cepat serta mampu membuat beberapa jadwal sekaligus . Semoga adanya aplikasi FET Time Tables ini diharapkan bisa mempermudah dan mempercepat dalam pembuatan penjadwalan mata pelajaran di sekolah."
130,"Implementasi Penjadwalan Mata Pelajaran SMPN 1 Ambunten dibuat untuk membantu pihak sekolah bersangkutan yaitu asisten kurikulum. Asisten kurikulum dapat mengubah data dari penjadwalan mata pelajaran per-tahun, serta membuat jadwal ulangan maupun jadwal yang lain.Karena di dalam sekolah SMPN 1 Ambunten ini memungkinkan Asisten Kurikulum untuk mengubah data dari  penjadwalan, tapi masih menggunakan tabel di word ataupun excel. Sedangkan tujuan dari  Penelitian ini adalah untuk membantu mempercepat Asisten Kurikulum dalam melakukan penjadwalan. 
Penelitian ini bertujuan untuk membantu memperlancar tugas dari asisten kurikulum SMPN 1 Ambunten untuk menggerjakan penjadwalan. Dalam menyusun penjadwalan asisten kurikulum menggunakan aplikasi aSc TimeTables, karena sebelumnya masih manual menggunakan Microsoft word dan microsoft excel. Dan dalam penelitian ini menggunakan data penerapan kurikulum yang dipakai pada tahun 2013 - 2014.
Agar tujuan ini berhasil sesuai yang diinginkan maka digunakan aplikasi aSc TimeTables. Aplikasi aSc TimeTables memiliki kelebihan mudah dan cepat dalam memasukkan data semua mata pelajaran, kelas, ruang kelas, guru dan kontrak guru. aSc TimeTables memperhatikan beban kerja pengajar, serta memudahkan verifikasi jadwal. Dalam penerapan aplikasi banyak sekali keuntungan, seperti gampang menggenerate tinggal menunggu proses loading dari generate.

Kata Kunci : Implementasi, Penjadwalan, Asc Time Table
"
132,"Penyusunan dan pembuatan aplikasi Disaster Management untuk Tsunami khususnya di kabupaten Lumajang dibuat untuk membantu tim penyelamat dalam proses evakuasi bencana tsunami. Dalam aplikasi yang telah dirancang tersebut, pengguna (SAR) dapat mengetahui informasi-informasi penting tentang kota Lumajang, khususnya tata letak posko-posko bencana alam yang ada dan juga dapat memberikan masukan berupa posisi SAR saat ini sehingga aplikasi dapat membentuk rute yang dapat dilewati oleh tim SAR. Tujuan dari Tugas Akhir ini adalah untuk membatu dalam memenuhi kebutuhan tim SAR dalam hal informasi rute dan tata letak posko yang ada di kota Lumajang. Agar tujuan ini berhasil dan sesuai dengan yang di inginkan maka aplikasi yang dibuat di bandingkan dengan aplikasi yang telah banyak orang kenal (Google Map). Google Map digunakan sebagai pembanding antara hasil rute yang dibentuk oleh aplikasi, dengan hasil rute yang dibentuk oleh Google Map. Dari proses pembandingan, didapatkan hasil rute yang hampir sama antara aplikasi yang dibuat dengan Google Map, akan tetapi didapatkan nilai jarak yang berbeda. Hal ini dikarenakan sistem yang dibuat menggunakan Algoritma Genetika sebagai penentu rute dan untuk perhitungan jarak menggunakan Haversine. Sedangkan Google Map menggunakan algoritma-nya sendiri dalam proses perhitungan jaraknya. Hasil dari jarak yang didapatkan oleh aplikasi, jarak tempuh dari Posko Kunir ke RSUD Lumajang berjarak 10.81 km. Sedangkan oleh Google Map didapatkan jarak sebesar 15.4 km.
"
137,"Salah satu komponen penting yang menunjang operasi perusahaan beras adalah 
kegiatan memprediksi jumlah beras yang dibutuhkan konsumen. Dengan prediksi 
yang baik dapat dibuat rencana kerja perusahaan lebih efektif dan efisien.  Proses 
pendistribusian juga harus tepat agar tidak terjadi penumpukan beras di gudang yang 
megakibatkan kwalitas beras menurun.  Selain itu  pemasukan beras  dan distribusi 
beras juga harus seimbang supaya terjadi keseimbangn dalam proses distribusi beras. 
Penelitian ini  mengidentifikasi pola distribusi beras  di BULOG kabupaten 
Pamekasan. agar  mendapatkan metode peramalan yang terbaik berdasarkan pola data 
pendistribusian beras. Selain itu sistem yang di buat juga mampu mendapatkan hasil 
peramalan  periode selanjutnya  sehingga dapat menjadi acuan dalam perencanaan 
strategi pendistribusian yang  diterapkan di Bulog  Kabupaten  Pamekasan.  Dalam 
proses pendistribusian  beras  Penentuan metode  exponential smooting  sebagai 
peramalan yang terbaik  dengan menggunakan data sebelumnya sebagai parameter 
masukan  dilakukan dengan  cara mengukur tingkat kesalahan  peramalan  dari 
penerapan  metode tersebut  dan di ketahui peramalan terbaik berada di  alpha  0.1 
dengan mengidentifikasi nilai Square Error  (SE) dan Percentage Error  (PE). Dapat 
diketahui melalui pencarian nilai rata-rata kesalahan sebesar 3.8%, yaitu menghitung 
Mean Square Error (MSE) dan Mean Absolute Percentage Error (MAPE). 
 
 Kata kunci:  Peramalan Pendistribusian, Exponential Smoothing, Mean Error (MSE) 
Mean Absolute Percentage Error (MAPE) "
138,"Penjadwalan  kuliah  di  Perguruan  Tinggi  merupakan  masalah yang  kompleks.  Dalam  permasalahan tersebut  terdapat  beberapa variabel  yang  harus  dipertimbangkan  supaya  mendapatkan  jadwal  yang 
optimal. Di dalam penyusunan jadwal kuliah ini terdapat sangat banyak kemungkinan  yang  selayaknya  dicoba  untuk  menemukan  penjadwalan yang  terbaik.  Karena  itu  dibutuhkan  metode  optimasi  yang  dapat diterapkan  untuk  mengerjakan  penjadwalan  mata  kuliah  ini.  Metode yang  dapat  digunakan  untuk  menyelesaikan  permasalahan  tersebut adalah  dengan  menggunakan  Algoritma  Genetika.  Tugas  Akhir  ini 
bertujuan  untuk  membuat  suatu  sistem  yang  dapat  membuat  jadwal matakuliah  secara  otomatis  dan  hasilnya  optimal.  Dari  hasil  penelitian yang  dilakukan  algoritma  genetika  mampu  membuat  jadwal  dengan 
optimal  yang  dibuktikan  dari  nilai  fitness  yang memiliki  nilai  1  secara otomatis  jadwal  yang  dibentuk  akan  optimal.  Semoga  adanya  aplikasi ini  diharapkan  bisa  mempermudah  didalam  pembuatan  penjadwalan 
matakuliah dengan mudah dan cepat. 
 
Kata Kunci: Algoritma Genetika, Optimasi,  Penjadwalan."
